"id";"marque"
"1";"AIWAYS"
"2";"ALEKO"
"3";"ALFA ROMEO"
"4";"ALPINE RENAULT"
"5";"ARO"
"6";"ASIA"
"7";"ASTON MARTIN"
"8";"AUDI"
"9";"AUSTIN"
"10";"AUTOBIANCHI"
"11";"AUVERLAND"
"12";"BEDFORD"
"13";"BEE BEE AUTOMOTIVE"
"14";"BENTLEY"
"15";"BERTONE"
"16";"BMW"
"17";"BUICK"
"18";"CADILLAC"
"19";"CHEVROLET"
"20";"CHRYSLER"
"21";"CITROEN"
"22";"COURB"
"23";"CUPRA"
"24";"DACIA"
"25";"DAEWOO"
"26";"DAF"
"27";"DAIHATSU"
"28";"DAIMLER"
"29";"DATSUN"
"30";"DFSK"
"31";"DODGE"
"32";"DS"
"33";"EBRO"
"34";"FIAT"
"35";"FISKER"
"36";"FORD"
"37";"FSO-POLSKI"
"38";"GAC GONOW"
"39";"GME"
"40";"GRANDIN"
"41";"HONDA"
"42";"HYUNDAI"
"43";"INFINITI"
"44";"INNOCENTI"
"45";"ISUZU"
"46";"IVECO"
"47";"JAGUAR"
"48";"JEEP"
"49";"KIA"
"50";"LADA"
"51";"LANCIA"
"52";"LAND ROVER"
"53";"LDV"
"54";"LEXUS"
"55";"LOTUS"
"56";"LYNK&CO"
"57";"MAHINDRA"
"58";"MAN"
"59";"MARUTI"
"60";"MASERATI"
"61";"MATRA"
"62";"MAZDA"
"63";"MCC"
"64";"MEGA"
"65";"MERCEDES"
"66";"MG"
"67";"MIA"
"68";"MINI"
"69";"MITSUBISHI"
"70";"MPM MOTORS"
"71";"NISSAN"
"72";"OPEL"
"73";"PANHARD"
"74";"PEUGEOT"
"75";"PIAGGIO"
"76";"PONTIAC"
"77";"PORSCHE"
"78";"PROTON"
"79";"RENAULT"
"80";"ROVER"
"81";"SAAB"
"82";"SANTANA"
"83";"SEAT"
"84";"SKODA"
"85";"SMART"
"86";"SSANGYONG"
"87";"SUBARU"
"88";"SUNBEAM"
"89";"SUZUKI"
"90";"TALBOT"
"91";"TATA"
"92";"TESLA"
"93";"THINK"
"94";"TOYOTA"
"95";"TRIUMPH"
"96";"UMM"
"97";"VOLKSWAGEN"
"98";"VOLVO"
"99";"ZASTAVA"
"100";"ZAZ"
